,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
251,SKW4997,7R,KPHX,02/18/2017 04:55:00,CRJ7,15,2,G5,392.66,,
252,SWA346,7L,KPHX,02/18/2017 05:00:00,B738,C18,13,E11,678.23,,
253,SWA2224,7L,KPHX,02/18/2017 05:40:00,B738,C13,12,E11,532.91,,
254,AAL889,8,KPHX,02/18/2017 04:25:00,A321,A24,3,B8,973.22,,
255,SWA3163,7L,KPHX,02/18/2017 04:25:00,B737,C1,11,E11,1041.7,,
256,SWA2938,7L,KPHX,02/18/2017 05:30:00,B737,C3,11,E11,449.33,,
257,SWA4171,7L,KPHX,02/18/2017 03:30:00,B737,C8,12,E11,555.41,,
258,UAL237,8,KPHX,02/17/2017 15:05:00,B738,6B,8,B8,1022.09,,
259,UAL725,8,KPHX,02/17/2017 14:58:00,B739,6B,8,B8,1116.2,,
260,UAL739,8,KPHX,02/17/2017 18:47:00,B739,5,9,B8,1607.66,,
261,UAL2380,7R,KPHX,02/17/2017 19:30:00,A320,3,9,G4,605.25,,
262,UAL611,8,KPHX,02/17/2017 18:31:00,B739,7,9,B8,1513.61,,
263,UAL1141,26,KPHX,02/17/2017 21:15:00,A320,5,9,B7,1118.16,,
264,UAL507,25L,KPHX,02/17/2017 22:18:00,A320,3,9,G4,272.53,,
265,UAL1948,25L,KPHX,02/18/2017 00:40:00,A320,6A,8,G3,526.6,,
266,UAL483,26,KPHX,02/18/2017 01:29:00,B739,6B,8,B7,1210.4,,
267,UAL716,8,KPHX,02/18/2017 05:16:00,B738,7,9,B8,880.45,,
268,JBU135,7R,KPHX,02/18/2017 00:24:00,A320,26,1,G5,926.94,,
269,AAL1709,8,KPHX,02/18/2017 10:15:00,A319,A12,4,B8,414.91,,
270,AAL2672,8,KPHX,02/18/2017 12:00:00,B738,A18,3,B8,403.31,,
271,ASH5930,8,KPHX,02/18/2017 13:25:00,CRJ9,B19,7,B11,233.13,,
272,AAL1110,8,KPHX,02/18/2017 11:00:00,B738,A25,4,B8,321.04,,
273,ASH5797,8,KPHX,02/18/2017 12:15:00,CRJ9,B22,6,B11,266.05,,
274,ASH5907,7L,KPHX,02/18/2017 13:25:00,CRJ9,B5,6,E11,352.89,,
275,ASH5967,8,KPHX,02/18/2017 14:00:00,CRJ9,B3,6,B11,235.3,,
276,AAL693,8,KPHX,02/18/2017 09:20:00,B752,A22,3,B8,287.59,,
277,AAL646,8,KPHX,02/18/2017 14:00:00,A321,A19,4,B8,379.66,,
278,AAL1025,7R,KPHX,02/18/2017 14:15:00,B738,B14,5,G5,1004.3,,
279,AAL1073,8,KPHX,02/18/2017 13:10:00,B738,B6,5,B8,519.05,,
280,SKW3080,7R,KPHX,02/18/2017 14:45:00,CRJ7,B7,6,G5,408.36,,
281,AAL593,7R,KPHX,02/18/2017 14:20:00,A321,A21,4,G5,848.62,,
282,SKW3022,8,KPHX,02/18/2017 14:20:00,CRJ7,B15A,7,B11,248.92,,
283,AAL1479,8,KPHX,02/18/2017 14:00:00,B738,A5,5,B8,576.63,,
284,SKW3068,7R,KPHX,02/18/2017 14:15:00,CRJ7,B1A,6,G5,415.06,,
285,AAL114,8,KPHX,02/18/2017 13:00:00,B738,A3,5,B8,438.33,,
286,SKW3071,7R,KPHX,02/18/2017 14:10:00,CRJ7,B1,6,G5,416.54,,
287,SKW3045,7R,KPHX,02/18/2017 14:05:00,CRJ7,B22,6,G5,388.08,,
288,AAL592,8,KPHX,02/18/2017 14:00:00,A319,B12,5,B8,482.73,,
289,ASH5794,8,KPHX,02/18/2017 15:01:00,CRJ9,B24,6,B11,216.09,,
290,AAL770,7R,KPHX,02/18/2017 14:00:00,A319,B11,6,G5,978.09,,
291,AAL567,7R,KPHX,02/18/2017 14:01:00,A321,B13,6,G6,854.82,,
292,AAL2094,7R,KPHX,02/18/2017 14:10:00,A320,A4,4,G5,887.59,,
293,AAL761,7R,KPHX,02/18/2017 13:20:00,A321,A23,4,G5,841.76,,
294,SKW3024,8,KPHX,02/18/2017 15:00:00,CRJ7,B9,6,B11,222.09,,
295,AAL106,8,KPHX,02/18/2017 14:45:00,B738,A25,4,B8,357.19,,
296,ASH5947,7R,KPHX,02/18/2017 14:40:00,CRJ9,B21,7,G5,486.89,,
297,DAL1514,8,KPHX,02/18/2017 13:05:00,MD90,18,1,B6,708.02,,
298,AAL534,8,KPHX,02/18/2017 15:37:00,A321,A22,3,B8,434.61,,
299,AAL414,8,KPHX,02/18/2017 13:30:00,A320,A6,4,B8,534.5,,
300,AAL1572,8,KPHX,02/18/2017 13:17:00,B738,B14,5,B8,552.52,,
301,AAL625,8,KPHX,02/18/2017 12:15:00,A319,B2,5,B8,578.2,,
302,AAL447,7R,KPHX,02/18/2017 12:00:00,A321,A29,4,G5,892.29,,
303,ASH5844,7R,KPHX,02/18/2017 14:25:00,CRJ9,B3,6,G5,411.03,,
304,ASH6002,8,KPHX,02/18/2017 14:20:00,CRJ9,B9,6,B11,259.87,,
305,AAL436,8,KPHX,02/18/2017 13:01:00,A321,A3,5,B8,561.03,,
306,AAL531,8,KPHX,02/18/2017 12:00:00,A319,A8,4,B8,427.3,,
307,AAL319,8,KPHX,02/18/2017 14:45:00,B738,A11,5,B10,377.25,,
308,AAL493,8,KPHX,02/18/2017 13:55:00,A319,A10,4,B8,476.58,,
309,AAL1778,8,KPHX,02/18/2017 14:00:00,A320,A12,4,B8,335.14,,
310,AAL1456,8,KPHX,02/18/2017 13:15:00,B738,B11,6,B10,364.57,,
311,UAL237,8,KPHX,02/18/2017 15:15:00,B738,6B,8,B8,1063.35,,
312,AAL588,8,KPHX,02/18/2017 14:00:00,A320,B13,6,B10,737.29,,
313,AAL1821,8,KPHX,02/18/2017 13:25:00,A319,A2,4,B8,371.4,,
314,ASH5948,7R,KPHX,02/18/2017 15:41:00,CRJ9,B19,7,G5,485.93,,
315,AAL506,8,KPHX,02/18/2017 11:45:00,A321,A21,4,B8,311.57,,
316,ASH5909,7R,KPHX,02/18/2017 14:35:00,CRJ9,B22,6,G5,413.92,,
317,AAL1431,8,KPHX,02/18/2017 11:25:00,B738,A18,3,B8,466.9,,
318,AAL481,7R,KPHX,02/18/2017 12:25:00,A320,A4,4,G5,962.09,,
319,AAL568,7R,KPHX,02/18/2017 12:00:00,A321,A23,4,G5,909.92,,
320,AAL433,8,KPHX,02/18/2017 12:00:00,A321,A19,4,B8,625.85,,
321,AAL586,7R,KPHX,02/18/2017 13:10:00,A319,B10,5,G5,1043.26,,
322,AAL582,7R,KPHX,02/18/2017 15:40:00,A319,A9,5,G5,1046.43,,
323,CPZ5783,7R,KPHX,02/18/2017 16:00:00,E75S,18,1,G5,403.91,,
324,DAL1546,8,KPHX,02/18/2017 13:15:00,B739,17,2,B8,275.41,,
325,DAL1921,8,KPHX,02/18/2017 13:47:00,A320,23,2,B8,185.36,,
326,ASA636,8,KPHX,02/18/2017 14:55:00,B734,10,9,B8,1020.54,,
327,SWA2267,8,KPHX,02/18/2017 15:00:00,B737,C13,12,B8,1497.35,,
328,SKW5411,7R,KPHX,02/18/2017 16:31:00,E75L,8,8,G5,208.17,,
329,SWA2431,7R,KPHX,02/18/2017 16:25:00,B737,C14,13,G8,948.38,,
330,SWA2030,7R,KPHX,02/18/2017 17:05:00,B733,D3,10,G4,1152.54,,
331,SWA1532,8,KPHX,02/18/2017 14:50:00,B738,D8,11,B8,877.12,,
332,SWA2288,8,KPHX,02/18/2017 15:45:00,B737,C11,12,B8,971.52,,
333,SWA4464,7R,KPHX,02/18/2017 16:05:00,B737,C3,11,G8,765.85,,
334,CPZ5689,8,KPHX,02/18/2017 15:45:00,E75S,17,2,B8,144.11,,
335,SWA3443,8,KPHX,02/18/2017 13:45:00,B737,D7,10,B8,881.61,,
336,SWA1048,7R,KPHX,02/18/2017 16:15:00,B737,C6,12,G8,878.06,,
337,SKW5987,7R,KPHX,02/18/2017 16:15:00,CRJ2,7,9,G5,247.4,,
338,SWA2084,8,KPHX,02/18/2017 15:35:00,B737,C19,12,B8,955.64,,
339,SWA5769,8,KPHX,02/18/2017 16:55:00,B737,D1,10,B8,893.11,,
340,SWA1819,8,KPHX,02/18/2017 17:30:00,B733,D6,11,B8,1365.67,,
341,SWA2549,7R,KPHX,02/18/2017 17:35:00,B737,C17,12,G8,880.09,,
342,AAL1777,8,KPHX,02/18/2017 13:30:00,A320,A6,4,B8,996.92,,
343,SWA5917,7R,KPHX,02/18/2017 16:30:00,B738,C13,12,G8,847.22,,
344,NKS345,8,KPHX,02/18/2017 15:56:00,A320,2,8,B8,1060.0,,
345,SKW3002,8,KPHX,02/18/2017 18:20:00,CRJ7,A1,5,B10,245.91,,
346,AAL776,8,KPHX,02/18/2017 16:37:00,A321,A29,4,B8,387.92,,
347,ASH5719,7R,KPHX,02/18/2017 17:55:00,CRJ9,B5,6,G5,416.47,,
348,AAL1820,7L,KPHX,02/18/2017 17:55:00,A321,A21,4,E9,1326.81,,
349,AAL2527,7R,KPHX,02/18/2017 17:25:00,B738,B14,5,G5,1052.45,,
350,AAL1380,8,KPHX,02/18/2017 16:10:00,B738,A3,5,B8,466.1,,
351,AAL544,8,KPHX,02/18/2017 16:25:00,A321,A7,5,B8,574.64,,
352,AAL483,8,KPHX,02/18/2017 16:35:00,A319,A2,4,B8,458.46,,
353,ASH5879,8,KPHX,02/18/2017 18:00:00,CRJ9,B3,6,B11,194.99,,
354,SWA5901,8,KPHX,02/18/2017 17:45:00,B737,D3,10,B8,851.91,,
355,AAL2399,7R,KPHX,02/18/2017 18:05:00,B738,A25,4,G4,1158.54,,
356,ASA644,8,KPHX,02/18/2017 17:00:00,B739,11,9,B8,1114.05,,
357,ASH5995,7R,KPHX,02/18/2017 18:35:00,CRJ9,B16,6,G5,410.03,,
358,AAL1359,8,KPHX,02/18/2017 18:15:00,B738,B11,6,B10,753.35,,
359,ASH5972,8,KPHX,02/18/2017 17:49:00,CRJ9,B17,7,B11,303.85,,
360,SWA5889,8,KPHX,02/18/2017 17:20:00,B737,D6,11,B8,977.04,,
361,AAL542,7R,KPHX,02/18/2017 16:55:00,A321,A19,4,G5,933.82,,
362,AAL491,7R,KPHX,02/18/2017 18:00:00,B752,A20,3,G4,1314.47,,
363,SWA5134,7L,KPHX,02/18/2017 16:55:00,B737,C16,13,E11,556.01,,
364,SWA972,7R,KPHX,02/18/2017 18:10:00,B737,C6,12,G8,1303.63,,
365,SWA2023,8,KPHX,02/18/2017 18:40:00,B733,C11,12,B8,1448.09,,
366,DAL1772,8,KPHX,02/18/2017 16:06:00,A321,18,1,B8,243.71,,
367,SWA2564,8,KPHX,02/18/2017 18:25:00,B737,C19,12,B8,1439.2,,
368,UAL739,8,KPHX,02/18/2017 18:42:00,B739,5,9,B8,1577.79,,
369,ASH5976,8,KPHX,02/18/2017 18:48:00,CRJ9,B19,7,B11,386.75,,
370,AAL472,8,KPHX,02/18/2017 17:00:00,A321,A23,4,B8,492.96,,
371,SKW3109,7R,KPHX,02/18/2017 19:10:00,CRJ7,B15A,7,G5,617.85,,
372,DAL1769,8,KPHX,02/18/2017 17:17:00,MD90,19,2,B6,767.1,,
373,AAL1618,8,KPHX,02/18/2017 14:30:00,B738,B13,6,B10,759.12,,
374,AAL450,7R,KPHX,02/18/2017 15:45:00,A321,A30,3,G5,896.97,,
375,AAL2023,8,KPHX,02/18/2017 16:50:00,A321,A18,3,B8,418.09,,
376,CPZ5800,7R,KPHX,02/18/2017 19:25:00,E75S,16,1,G5,373.65,,
377,SWA2326,8,KPHX,02/18/2017 18:40:00,B733,C2,12,B8,1479.98,,
378,ASH5736,8,KPHX,02/18/2017 19:15:00,CRJ9,B20,6,B11,407.9,,
379,SKW3029,8,KPHX,02/18/2017 19:10:00,CRJ7,A1,5,B10,314.61,,
380,ASH5949,7R,KPHX,02/18/2017 19:50:00,CRJ9,B5,6,G5,488.1,,
381,SKW3108,7R,KPHX,02/18/2017 18:59:00,CRJ7,B17,7,G5,614.38,,
382,ASH5748,7R,KPHX,02/18/2017 19:20:00,CRJ9,B21,7,G5,617.95,,
383,AAL2407,8,KPHX,02/18/2017 15:30:00,B738,B7,6,B10,747.19,,
384,SWA5836,8,KPHX,02/18/2017 18:05:00,B737,C17,12,B8,1537.41,,
385,ASH5752,8,KPHX,02/18/2017 19:25:00,CRJ9,B3,6,B11,401.07,,
386,SWA5057,8,KPHX,02/18/2017 17:10:00,B737,C13,12,B8,1476.84,,
387,WJA1770,8,KPHX,02/18/2017 17:45:00,B738,B27,7,B11,1307.21,,
388,SWA5552,7R,KPHX,02/18/2017 19:30:00,B737,D8,11,G8,785.75,,
389,ASH5776,7R,KPHX,02/18/2017 17:55:00,CRJ9,B16,6,G5,508.5,,
390,AAL679,8,KPHX,02/18/2017 16:20:00,A321,A7,5,B8,1068.77,,
391,AAL495,7R,KPHX,02/18/2017 16:40:00,A320,A4,4,G4,1303.62,,
392,AAL549,7R,KPHX,02/18/2017 18:15:00,A321,A11,5,G4,1474.72,,
393,SKW3032,7R,KPHX,02/18/2017 19:05:00,CRJ7,B9,6,G5,543.17,,
394,AAL1826,8,KPHX,02/18/2017 15:35:00,A321,A21,4,B8,1021.45,,
395,SWA4014,8,KPHX,02/18/2017 17:40:00,B737,D7,10,B8,1362.88,,
396,SWA55,8,KPHX,02/18/2017 18:35:00,B737,C8,12,B8,1499.47,,
397,SWA739,8,KPHX,02/18/2017 19:35:00,B738,D6,11,B8,871.46,,
398,SWA1297,8,KPHX,02/18/2017 19:25:00,B737,C3,11,B8,979.53,,
399,SWA2141,7R,KPHX,02/18/2017 20:10:00,B737,C19,12,G8,849.96,,
