,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
93,DAL2196,26R,KATL,02/17/2017 15:23:00,MD90,B13,9,9,724.82,,
94,DAL665,27L,KATL,02/17/2017 15:52:00,MD88,B10,13,59,478.96,,
95,ASQ5166,27L,KATL,02/17/2017 15:20:00,CRJ2,D40,4,60,310.53,,
96,DAL2309,26R,KATL,02/17/2017 15:35:00,MD88,B14,8,8,715.11,,
97,DAL1330,27L,KATL,02/17/2017 15:46:00,B712,C50,3,62,1053.32,,
98,DAL1970,27L,KATL,02/17/2017 15:15:00,B752,A02,12,59,587.16,,
99,ASQ5143,26R,KATL,02/17/2017 15:45:00,CRJ2,D27,11,9,259.12,,
100,DAL2604,26R,KATL,02/17/2017 15:13:00,A321,D06,15,8,737.02,,
101,SWA331,26R,KATL,02/17/2017 14:05:00,B738,C20,9,9,657.79,,
102,RPA4591,26R,KATL,02/17/2017 14:10:00,E75L,T9,7,8,358.41,,
103,DAL2029,27L,KATL,02/17/2017 15:54:00,MD88,B36,2,59,1001.01,,
104,DAL2607,27L,KATL,02/17/2017 15:40:00,MD90,B31,3,59,636.7,,
105,DAL342,26R,KATL,02/17/2017 15:51:00,MD88,B26,2,8,643.69,,
106,ASQ5403,27L,KATL,02/17/2017 15:20:00,CRJ7,D44,4,61,312.52,,
107,NKS542,27L,KATL,02/17/2017 15:55:00,A319,D1A,16,59,763.0,,
108,ASQ5128,27L,KATL,02/17/2017 16:07:00,CRJ2,D24,10,60,254.93,,
109,DAL1943,26R,KATL,02/17/2017 15:29:00,A320,A27,2,8,607.06,,
110,DAL1345,27L,KATL,02/17/2017 14:00:00,MD90,T07,7,59,1126.54,,
111,ASQ5518,27L,KATL,02/17/2017 14:15:00,CRJ9,E27,6,59,406.64,,
112,DAL2312,27L,KATL,02/17/2017 16:08:00,B712,C55,4,61,792.89,,
113,DAL1539,26R,KATL,02/17/2017 14:55:00,A320,T02,12,8,1347.99,,
114,DAL2343,27L,KATL,02/17/2017 15:15:00,B712,C36,9,59,581.19,,
115,ASQ5276,26R,KATL,02/17/2017 15:18:00,CRJ9,D16,10,9,276.12,,
116,DAL2390,27L,KATL,02/17/2017 15:45:00,A321,D9A,16,59,730.91,,
117,ASQ5190,27L,KATL,02/17/2017 16:40:00,CRJ2,D26,10,60,252.71,,
118,DAL1066,26R,KATL,02/17/2017 16:45:00,MD88,B01,14,9,787.57,,
119,DAL1311,26R,KATL,02/17/2017 16:37:00,B712,C43,4,9,598.05,,
120,SWA1438,26R,KATL,02/17/2017 15:55:00,B733,C2,14,9,789.59,,
121,DAL1747,27L,KATL,02/17/2017 14:00:00,B739,A09,13,59,464.82,,
