,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
269,AAL651,16L,KDEN,02/20/2017 23:29:00,A321,A51,13,21,2159.46,,
270,FFT939,16L,KDEN,02/20/2017 23:00:00,A319,A38,14,21,1977.02,,
271,SKW5568,16L,KDEN,02/21/2017 01:57:00,CRJ2,B51,6,23,526.41,,
272,NKS720,16R,KDEN,02/21/2017 01:13:00,A320,A52,15,8,1822.13,,
273,SKW5686,16L,KDEN,02/21/2017 02:20:00,E75L,B49,6,23,661.85,,
274,SKW5551,16L,KDEN,02/21/2017 02:15:00,CRJ2,B60,10,23,667.95,,
275,SKW5754,16R,KDEN,02/21/2017 03:15:00,CRJ7,B53,6,5,781.87,,
276,SKW5494,16R,KDEN,02/21/2017 03:30:00,CRJ2,B51,6,5,756.82,,
277,AAL1494,16R,KDEN,02/21/2017 02:55:00,B738,A47,13,8,1552.34,,
278,DAL2627,16R,KDEN,02/21/2017 03:30:00,A320,A28,14,5,1537.53,,
279,NKS355,16L,KDEN,02/21/2017 01:10:00,A321,A52,15,21,2246.14,,
280,DAL2850,16L,KDEN,02/21/2017 01:15:00,B738,A28,14,21,1393.8,,
281,AAL1532,16L,KDEN,02/21/2017 00:59:00,B738,A51,13,21,1429.73,,
282,FFT714,16L,KDEN,02/21/2017 03:10:00,A319,A34,14,21,1357.12,,
283,SWA1979,16L,KDEN,02/21/2017 04:20:00,B737,C33,1,21,1021.54,,
284,AAL446,16L,KDEN,02/21/2017 04:05:00,A321,A50,15,21,2281.56,,
285,DAL2500,16L,KDEN,02/21/2017 03:08:00,B752,A29,12,21,1347.47,,
286,SWA4602,16L,KDEN,02/21/2017 04:00:00,B737,C30,3,21,1086.22,,
287,SWA4501,16R,KDEN,02/21/2017 04:25:00,B737,C37,1,5,1243.02,,
288,NKS853,17R,KDEN,02/21/2017 04:05:00,A319,A60,16,51,1003.21,,
289,FFT794,16R,KDEN,02/21/2017 03:40:00,A320,A46,15,9,1371.79,,
290,FFT423,16L,KDEN,02/21/2017 03:15:00,A320,A37,12,21,1382.3,,
291,AAL1865,16L,KDEN,02/21/2017 03:14:00,A321,A53,13,26,1321.29,,
292,SWA425,16L,KDEN,02/21/2017 03:40:00,B737,C29,1,21,1130.82,,
293,SWA2937,16L,KDEN,02/21/2017 05:50:00,B737,C28,3,21,1038.5,,
294,SWA4257,16L,KDEN,02/21/2017 05:35:00,B737,C40,4,26,973.31,,
295,CPZ6029,16L,KDEN,02/21/2017 05:25:00,E75L,A53,13,23,604.05,,
