runway,lat,long,direction
16L,39.898128,-104.686822,0
34R,39.863017,-104.687211,180
16R,39.896921,-104.696093,0
34L,39.850798,-104.696597,180
8,39.877568,-104.663682,270
26,39.877227,-104.618077,90
17L,39.866054,-104.641295,0
35R,39.830924,-104.64172,180
17R,39.862344,-104.660157,0
35L,39.827221,-104.660591,180
7,39.840954,-104.728098,270
25,39.840641,-104.682511,90
