runway,lat,long,direction
08L,33.64954,-84.440357,270
26R,33.649531,-84.408168,90
08R,33.646774,-84.439675,270
26L,33.646782,-84.404227,90
09L,33.63468,-84.449274,270
27R,33.63469,-84.405979,90
09R,33.631815,-84.449291,270
27L,33.631811,-84.417101,90
10,33.620239,-84.449164,270
28,33.620255,-84.417016,90
