runway,lat,long,direction
15L,39.187385,-76.663506,324
33R,39.176243,-76.653278,144
15R,39.186254,-76.682815,324
33L,39.163997,-76.662206,144
10,39.174819,-76.691015,94
28,39.172545,-76.651283,274
4,39.166866,-76.671378,33
22,39.180864,-76.65964,213
