gate,node
A1,9
A2,9
A3,9
A4,9
A5,10
A6,11
A7,10
A8,11
A9,10
A10,11
A11,10
B1,7
B2,8
B3,7
B4,8
B5,7
B6,8
B7,7
B8,8
B9,7
B10,8
B11,7
B12,8
B13,7
B14,8
B15,7
C1,6
C2,7
C3,6
C4,7
C5,6
C6,7
C7,6
C8,7
C9,6
C10,7
C11,6
C12,7
C13,6
C14,7
D1,3
D2,6
D3,3
D4,6
D5,3
D7,5
D8,6
D10,6
D11,5
D12,6
D13,5
D14,6
D15,5
D16,6
D20,5
D21,4
D22,5
D23,4
D24,5
D25,4
D26,5
D29,4
D36,5
D37,5
E1,1
E2,2
E3,1
E4,2
E6,2
E8,2
