exit,runway,lat,long,distNode1,distNode2,distNode3,distNode4,distNode5,distNode6,distNode7,distNode8,distNode9,distNode10,distNode11,distNode12,distNode13,distNode14,distNode15,distNode16
53,"17R, 35L",39.832286,-104.660561,5039,4776,4567,4260,4517,4005,3668,3342,3584,4436,3235,3593,3243,3893,3270,2981
55,"17R, 35L",39.829383,-104.660625,5407,5144,4935,4628,4885,4373,4036,3710,3952,4804,3603,3961,3611,4261,3638,3349
56,"17R, 35L",39.828498,-104.660604,5511,5248,5039,4732,4989,4477,4140,3814,4056,4908,3707,4065,3715,4365,3742,3453
27,"26, 8",39.87754,-104.662026,2503,2232,2938,2672,2969,2486,2267,2306,3607,2755,2406,3256,2980,3556,3136,2838
28,"26, 8",39.877523,-104.660951,2590,2319,3025,2759,3056,2573,2354,2393,3694,2842,2493,3343,3067,3643,3223,2925
29,"26, 8",39.877499,-104.656912,2934,2663,3369,3103,3400,2917,2698,2737,4038,3186,2837,3687,3411,3987,3567,3269
30,"26, 8",39.877434,-104.650073,3403,3132,3838,3572,3869,3386,3167,3206,4507,3655,3306,4156,3880,4456,4036,3738
31,"26, 8",39.877385,-104.644719,3866,3595,4301,4035,4332,3849,3630,3669,4970,4118,3769,4619,4343,4919,4499,4201
32,"26, 8",39.877272,-104.631651,5350,5079,5785,5519,5816,5333,5114,5153,6454,5602,5253,6103,5827,6403,5983,5685
33,"26, 8",39.877257,-104.624875,5675,5404,6110,5844,6141,5658,5439,5478,6779,5927,5578,6428,6152,6728,6308,6010
34,"26, 8",39.877224,-104.620915,6007,5736,6442,6176,6473,5990,5771,5810,7111,6259,5910,6760,6484,7060,6640,6342
35,"26, 8",39.877207,-104.619768,6107,5836,6542,6276,6573,6090,5871,5910,7211,6359,6010,6860,6584,7160,6740,6442
