gate,node
T1,12
T2,12
T3,12
T4,12
T5,12
T6,7
T7,7
T8,7
T9,7
T01,12
T02,12
T03,12
T04,12
T05,12
T06,7
T07,7
T08,7
T09,7
T10,7
T11,7
T12,1
T13,1
T14,1
T15,1
A1,13
A2,12
A3,13
A4,12
A5,13
A6,12
A7,13
A8,12
A9,13
A01,13
A02,12
A03,13
A04,12
A05,13
A06,12
A07,13
A08,12
A09,13
A10,12
A11,13
A12,7
A13,8
A14,7
A15,8
A16,7
A17,8
A18,7
A19,8
A20,7
A21,8
A22,7
A23,8
A24,1
A25,2
A26,1
A27,2
A28,1
A29,2
A30,1
A31,2
A32,1
A33,2
A34,1
B1,14
B2,13
B3,14
B4,13
B5,14
B6,13
B7,14
B8,13
B9,14
B01,14
B02,13
B03,14
B04,13
B05,14
B06,13
B07,14
B08,13
B09,14
B10,13
B11,14
B12,8
B13,9
B14,8
B15,9
B16,8
B17,9
B18,8
B19,9
B20,8
B21,9
B22,8
B23,9
B24,2
B25,9
B26,2
B27,3
B28,2
B29,3
B30,2
B31,3
B32,2
B33,3
B34,2
B36,2
C1,15
C2,14
C3,15
C4,14
C5,15
C6,14
C7,15
C8,14
C9,15
C01,15
C02,14
C03,15
C04,14
C05,15
C06,14
C07,15
C08,14
C09,15
C10,14
C11,15
C12,14
C13,15
C14,14
C15,10
C16,9
C17,10
C18,9
C19,10
C20,9
C21,10
C22,9
C30,9
C31,10
C32,9
C33,10
C34,9
C35,10
C36,9
C37,10
C38,9
C39,10
C40,3
C41,4
C42,3
C43,4
C44,3
C45,4
C46,3
C47,4
C48,3
C49,4
C50,3
C51,4
C52,3
C53,4
C55,4
C57,3
D1,16
D2,15
D3,16
D4,15
D5,16
D6,15
D7,16
D8,15
D9,16
D01,16
D02,15
D03,16
D04,15
D05,16
D06,15
D07,16
D08,15
D09,16
D10,15
D11,11
D12,10
D13,11
D14,10
D15,11
D16,10
D21,11
D22,10
D23,11
D24,10
D25,11
D26,10
D27,11
D28,10
D29,5
D30,4
D31,5
D32,4
D33,5
D34,4
D35,5
D36,4
D37,5
D38,4
D39,5
D40,4
D41,5
D42,4
D44,4
D46,5
D1A,16
D8A,15
D9A,16
D11A,11
E1,17
E2,16
E3,17
E4,16
E5,17
E6,16
E7,17
E8,16
E9,17
E01,17
E02,16
E03,17
E04,16
E05,17
E06,16
E07,17
E08,16
E09,17
E10,11
E11,17
E12,11
E14,6
E15,17
E16,6
E17,17
E18,6
E26,11
E27,6
E28,5
E29,6
E30,5
E31,6
E32,5
E33,6
E34,5
E35,6
E36,5
E37,6
F1,19
F2,18
F3,19
F4,18
F5,19
F6,18
F7,19
F8,18
F9,19
F01,19
F02,18
F03,19
F04,18
F05,19
F06,18
F07,19
F08,18
F09,19
F10,18
F12,18
F14,18
